timestamp,thermistor_v,photoresistor_v
132.3,2.08,3.95
132.8,2.08,3.95
133.3,2.08,3.95
133.8,2.08,3.95
134.3,2.08,3.95
134.8,2.08,3.95
135.3,2.08,3.95
135.8,2.08,3.95
136.3,2.08,3.93
136.8,2.08,3.93
137.3,2.08,3.93
137.8,2.07,3.93
138.3,2.08,3.93
138.8,2.08,3.93
139.3,2.08,3.93
139.8,2.08,3.92
140.3,2.07,3.9
140.8,2.07,3.91
141.3,2.07,3.91
141.8,2.07,3.91
142.3,2.07,3.94
142.9,2.07,3.93
143.3,2.07,3.91
143.8,2.07,3.91
144.3,2.07,3.91
144.8,2.07,3.93
145.3,2.07,3.94
145.8,2.07,3.97
146.3,2.07,3.99
146.8,2.07,3.94
147.3,2.07,3.99
147.8,2.07,4.0
148.3,2.07,3.99
148.8,2.07,3.98
149.3,2.07,3.97
149.8,2.07,3.95
150.3,2.07,3.99
150.8,2.07,3.98
151.3,2.07,3.93
151.8,2.06,3.9
152.3,2.06,3.88
152.8,2.06,3.88
153.3,2.06,3.88
153.8,2.06,3.87
154.3,2.06,3.89
154.8,2.06,3.89
155.3,2.06,3.89
155.9,2.06,3.89
156.4,2.06,3.89
156.9,2.06,3.89
157.4,2.06,3.89
157.9,2.06,3.89
158.4,2.06,3.89
158.9,2.06,3.89
159.4,2.06,3.89
159.9,2.06,3.89
160.4,2.06,3.89
160.9,2.06,3.89
161.4,2.06,3.89
161.9,2.06,3.89
162.4,2.06,3.89
162.9,2.06,3.9
163.4,2.06,3.9
163.9,2.06,3.9
164.4,2.06,3.9
164.9,2.06,3.89
165.4,2.05,3.89
165.9,2.06,3.89
166.4,2.05,3.89
166.9,2.05,3.89
167.4,2.05,3.89
167.9,2.05,3.89
168.4,2.05,3.89
168.9,2.05,3.89
169.4,2.05,3.89
169.9,2.05,3.89
170.4,2.05,3.89
170.9,2.05,3.9
171.4,2.06,3.89
171.9,2.05,3.89
172.4,2.05,3.9
172.9,2.06,3.89
173.4,2.06,3.89
173.9,2.06,3.89
174.4,2.06,3.89
174.9,2.06,3.89
175.4,2.06,3.9
175.9,2.06,3.89
176.4,2.06,3.89
176.9,2.06,3.9
177.4,2.06,3.9
177.9,2.06,3.9
178.4,2.06,3.9
178.9,2.06,3.89
179.4,2.06,3.9
179.9,2.06,3.89
180.4,2.06,3.9
180.9,2.06,3.9
181.4,2.06,3.9
181.9,2.06,3.9
182.4,2.06,3.9
182.9,2.06,3.9
183.4,2.06,3.9
183.9,2.06,3.9
184.4,2.06,3.9
184.9,2.06,3.9
185.4,2.06,3.9
185.9,2.06,3.9
186.4,2.06,3.9
186.9,2.06,3.89
187.4,2.06,3.9
187.9,2.06,3.9
188.4,2.06,3.9
188.9,2.06,3.9
189.4,2.06,3.9
189.9,2.06,3.9
190.4,2.06,3.9
190.9,2.06,3.9
191.4,2.06,3.9
191.9,2.06,3.9
192.4,2.06,3.9
192.9,2.06,3.9
193.4,2.07,3.9
193.9,2.07,3.9
194.4,2.06,3.9
194.9,2.06,3.9
195.4,2.06,3.9
195.9,2.06,3.9
196.4,2.07,3.9
196.9,2.06,3.9
197.4,2.06,3.9
197.9,2.06,3.9
198.4,2.06,3.9
198.9,2.06,3.9
199.4,2.06,3.9
199.9,2.06,3.9
200.4,2.06,3.9
200.9,2.06,3.9
201.4,2.06,3.9
201.9,2.07,3.9
202.4,2.07,3.9
202.9,2.07,3.9
203.4,2.07,3.9
203.9,2.07,3.9
204.4,2.07,3.9
204.9,2.07,3.9
205.4,2.07,3.9
205.9,2.06,3.9
206.4,2.07,3.9
206.9,2.07,3.9
207.4,2.06,3.9
207.9,2.06,3.9
208.4,2.07,3.9
208.9,2.06,3.9
209.4,2.06,3.9
209.9,2.06,3.9
210.4,2.06,3.9
210.9,2.06,3.9
211.4,2.06,3.9
211.9,2.06,3.9
212.4,2.06,3.9
212.9,2.06,3.9
213.4,2.06,3.9
213.9,2.06,3.9
214.4,2.06,3.9
214.9,2.06,3.9
215.4,2.06,3.9
215.9,2.06,3.9
216.4,2.06,3.9
216.9,2.06,3.9
217.5,2.06,3.9
217.9,2.06,3.9
218.4,2.06,3.9
218.9,2.06,3.9
219.4,2.06,3.9
219.9,2.06,3.9
220.4,2.06,3.9
220.9,2.06,3.9
221.4,2.06,3.9
221.9,2.06,3.9
222.4,2.06,3.9
222.9,2.06,3.9
223.4,2.06,3.9
223.9,2.06,3.9
224.4,2.06,3.9
224.9,2.06,3.9
225.4,2.06,3.9
225.9,2.06,3.9
226.4,2.06,3.9
226.9,2.06,3.9
227.4,2.06,3.9
227.9,2.06,3.9
228.4,2.06,3.9
229.0,2.06,3.9
229.5,2.06,3.9
230.0,2.06,3.9
230.5,2.06,3.9
231.0,2.06,3.9
231.5,2.06,3.9
232.0,2.06,3.9
232.5,2.06,3.9
233.0,2.06,3.9
233.5,2.06,3.9
234.0,2.06,3.91
234.5,2.06,3.9
235.0,2.06,3.9
235.5,2.06,3.9
1070.4,2.06,3.9
1070.5,2.06,3.9
1070.6,2.06,3.91
1070.7,2.06,3.91
1070.8,2.07,3.91
1070.9,2.06,3.91
1071.0,2.06,3.92
1071.1,2.06,3.93
1071.2,2.06,3.95
1071.6,2.06,4.03
1072.1,2.06,4.03
1072.6,2.06,4.03
1073.1,2.06,4.03
1073.6,2.06,4.03
1074.1,2.07,4.03
1074.6,2.06,4.03
1075.1,2.06,4.03
1140.2,2.06,4.03
1140.3,2.06,4.03
1140.7,2.07,1.21
1141.2,2.07,1.21
1141.7,2.07,1.22
1142.2,2.07,1.51
1142.7,2.07,1.54
1143.2,2.07,1.56
1143.7,2.06,1.42
1144.2,2.06,1.27
1144.7,2.06,1.25
1145.2,2.06,1.23
1145.7,2.06,1.22
1146.2,2.06,1.22
1146.8,2.06,1.22
1147.3,2.06,1.25
1147.7,2.06,1.27
1148.2,2.06,1.27
1148.8,2.06,1.26
1149.3,2.06,1.24
1149.8,2.06,1.22
1150.3,2.06,1.21
1150.8,2.06,1.21
1151.3,2.06,1.22
1151.8,2.06,1.24
1152.3,2.06,1.27
1152.8,2.06,1.28
1153.3,2.06,1.27
1153.8,2.06,1.24
1154.3,2.06,1.22
1154.8,2.06,1.21
1155.3,2.06,1.21
1155.8,2.06,1.23
1156.3,2.06,1.24
1156.8,2.06,1.27
1157.3,2.06,1.28
1157.8,2.05,1.27
1158.3,2.06,1.25
1158.8,2.05,1.23
1159.3,2.06,1.21
1159.8,2.06,1.22
1160.3,2.06,1.23
1160.8,2.06,1.25
1161.3,2.06,1.27
1161.8,2.06,1.28
1162.3,2.06,1.28
1162.8,2.06,1.26
1163.3,2.07,1.24
1163.8,2.07,1.22
1164.3,2.07,1.22
1164.8,2.07,1.23
1165.3,2.07,1.24
1165.8,2.07,1.27
1166.3,2.07,1.28
1166.8,2.07,1.28
1167.3,2.07,1.27
1167.8,2.07,1.24
1168.3,2.07,1.22
1168.8,2.07,1.22
1169.3,2.07,1.23
1169.8,2.07,1.24
1170.3,2.07,1.3
1170.8,2.07,1.29
1171.3,2.07,1.28
1171.8,2.07,1.27
1172.3,2.07,1.25
1172.8,2.07,1.23
1173.3,2.07,1.23
1173.8,2.07,1.24
1174.3,2.07,1.24
1174.8,2.07,1.25
1175.3,2.07,1.28
1175.8,2.07,1.28
1176.3,2.07,1.28
1176.8,2.07,1.26
1177.3,2.07,1.24
1177.8,2.07,1.22
1178.3,2.07,1.22
1178.8,2.07,1.23
1179.3,2.07,1.24
1179.8,2.07,1.26
1180.3,2.07,1.28
1180.8,2.07,1.29
1181.3,2.07,1.28
1181.8,2.07,1.27
1182.3,2.07,1.24
1182.8,2.07,1.22
1183.3,2.07,1.22
1183.8,2.07,1.23
1184.3,2.07,1.24
1184.8,2.07,1.26
1185.3,2.07,1.28
1185.8,2.07,1.29
1186.3,2.07,1.28
1186.8,2.07,1.49
1187.3,2.07,1.25
1187.8,2.07,1.22
1188.3,2.07,1.23
1188.8,2.07,1.23
1189.3,2.07,1.25
1189.8,2.07,1.27
1190.3,2.07,1.29
1190.8,2.07,1.31
1191.3,2.07,1.31
1191.8,2.06,1.28
1192.3,2.06,1.26
1192.8,2.06,1.25
1193.3,2.06,1.24
1193.8,2.06,1.25
1194.3,2.06,1.27
1194.8,2.06,1.29
1195.3,2.06,1.31
1195.8,2.06,1.31
1196.3,2.06,1.29
1196.8,2.06,1.27
1197.3,2.06,1.24
1197.8,2.06,1.23
1198.3,2.06,1.24
1198.8,2.06,1.25
1199.3,2.07,1.27
1199.8,2.07,1.31
1200.3,2.07,1.31
1200.8,2.07,1.31
1201.3,2.07,1.29
1201.8,2.07,1.27
